"name"|"DISPLAY"|"Loc_x"|"Loc_y"
1259|2100 Divisadero Street, Pacific Heights, San Francisco|-122.441628857143|37.7897508571429
446|1000 El Centro Avenue, Glenview, Oakland|-122.228825583333|37.808436875
445|900 Divisadero Street, Western Addition, San Francisco|-122.4387057|37.778322
1514|1700 McGee Avenue, North Berkeley, Berkeley|-122.278242916667|37.8744886666667
1170|0 Junipero Street, Northwest Carmel, Carmel-by-the-Sea|-121.922738941176|36.5592397647059
478|100 Eagle Court, Birds, Hercules|-122.264007730769|38.0001070769231
2401|1400 Queens Road, Berkeley Hills, Berkeley|-122.256195892857|37.8846440357143
431|Seaborg Road, Berkeley|-122.256090045455|37.8730639090909
1462|1600 54th Avenue, Wentworth Holland, Oakland|-122.206660615385|37.7716338461538
2197|1700 Monsanto Way, Concord|-122.027720882353|38.0345213529412
286|1000 10th Street, West Oakland, Oakland|-122.2850077|37.8056102
1559|500 Embarcadero West, Downtown Oakland, Oakland|-122.277630666667|37.7958241666667
1588|Lilienthal Road, Livermore|-121.837661342857|37.6611305142857
1578|Maguire Peaks Loop Trail, Sunol|-121.802771852679|37.5744548973214
452|1200 Green Street, Russian Hill, San Francisco|-122.420744090909|37.7983609090909
2460|1300 Montgomery Street, North Beach, San Francisco|-122.407975058824|37.8022887647059
225|1900 Roosevelt Avenue, Belding Woods, Richmond|-122.353308714286|37.9416545714286
649|1000 Diamond Street, Noe Valley, San Francisco|-122.439865928571|37.7484077142857
676|300 Citrus Avenue, Daly City|-122.466682470588|37.6982558823529
1298|200 3rd Avenue, Richmond District, San Francisco|-122.461724090909|37.7855777272727
155|400 North Mary Avenue, Sunnyvale West, Sunnyvale|-122.04281532|37.39076644
1515|1700 Scenic Avenue, Northside, Berkeley|-122.260439916667|37.8777423333333
1120|0 Spindrift Passage, Corte Madera|-122.500178253968|37.9317482857143
1533|1600 11th Avenue, Clinton, Oakland|-122.246008545455|37.7935167272727
447|2600 Alvarado Street, Floresta Gardens - Bradrick, San Leandro|-122.1420217|37.69734705
1542|1100 77th Avenue, Fitchburg, Oakland|-122.188538368421|37.7540565263158
679|800 Paloma Avenue, Burlingame Terrace, Burlingame|-122.364619777778|37.5813870555556
1528|6400 Gwin Road, Merriewood, Oakland|-122.216586410256|37.8471154871795
1180|Cemetery Road, Yountville|-122.369259555556|38.3937158333333
2209|2900 Barkley Drive, Fairmede - Hilltop, Richmond|-122.331035551724|37.9718466551724
1691|200 O'Farrell Street, Tenderloin, San Francisco|-122.4119478|37.7857339
678|2500 Crestmoor Drive, San Bruno|-122.43387864|37.61774368
1538|1500 35th Avenue, Fruitvale, Oakland|-122.219052941176|37.7785552941176
448|35800 Dering Place, Centerville, Fremont|-122.018252526316|37.5703020526316
597|1600 Eighth Street, Northwest Berkeley, Berkeley|-122.29682825|37.8741885
1518|1300 67th Street, Southwest Berkeley, Berkeley|-122.281586|37.8502258125
950|Old Sled Trail, Bolinas|-122.59236960804|37.9236006582915
2530|3200 Blandon Road, Oak Knoll Golf Links, Oakland|-122.157101230769|37.7613676153846
221|Valley Avenue, Pleasanton|-121.89918045|37.66929085
417|4400 Bell Avenue, Eastshore, Richmond|-122.322884315789|37.9167841578947
1100|0 Via Diego, San Lorenzo|-122.11266288|37.6761546
235|300 East San Salvador Street, Central San Jose, San Jose|-121.880256142857|37.3330224285714
1910|2200 Royal Drive, Santa Clara|-121.964568666667|37.3595505
702|1800 Loyola Drive, East San Jose, San Jose|-121.833889333333|37.3360908
1284|1400 Bob White Place, North San Jose, San Jose|-121.877936642857|37.3837977857143
1051|2600 Humphrey Avenue, North & East, Richmond|-122.3391085|37.9485995416667
1925|4200 Leigh Avenue, Cambrian, San Jose|-121.923185518519|37.2561908518519
1916|1200 Collins Lane, West San Jose, San Jose|-121.99187075|37.3017636071429
2601|800 Cole Street, Ashbury Heights, San Francisco|-122.450765928571|37.7654723571429
