"","","weight_mst_double"
"1357","1337","68.255"
"1357","1825","86.45"
"1357","37","152.905"
"1687","533","114.225"
"1381","170","184.795"
"1381","831","151.13"
"1895","1908","90.115"
"1895","918","137.42"
"1895","1286","141.13"
"1065","2519","112.08"
"1065","2438","124.09"
"1945","1250","121.22"
"1396","2527","250.755"
"1396","567","185.085"
"1396","2516","236.75"
"1396","2234","243.825"
"1044","1016","189.605"
"2595","919","116.805"
"1698","1281","124.175"
"1698","208","122.745"
"1082","30","150.7"
"1302","2525","128.03"
"1302","555","175.515"
"1516","2349","102.475"
"2136","1121","77.875"
"2136","2660","91.805"
"1311","557","92.365"
"2347","1532","100.47"
"2347","590","91.57"
"1571","2483","136.35"
"1571","2199","184.91"
"1571","1599","171.94"
"1740","1741","189.175"
"1740","677","122.195"
"1740","1443","122.775"
"557","1937","144.53"
"557","1936","181.295"
"1761","1760","116.08"
"1761","116","173.145"
"1761","2697","184.85"
"1761","2511","133.875"
"2308","1695","275.84"
"2308","1694","168.32"
"103","472","94.615"
"103","1555","94.91"
"165","1257","68.725"
"2206","1042","229.005"
"2206","1641","211.93"
"9","1674","99.685"
"9","643","81.48"
"1450","1732","93.535"
"1450","409","109.57"
"1734","530","167.085"
"1734","2456","177.345"
"168","1096","160.635"
"843","813","148.62"
"939","599","132.755"
"939","1083","151.56"
"939","30","155.04"
"1602","1644","136.915"
"919","1911","150.29"
"1574","2356","182.46"
"2490","744","129.4"
"984","224","208.425"
"1743","1728","147.615"
"1743","2505","158.605"
"1453","1752","134.945"
"1525","887","144.43"
"968","860","104.995"
"968","1764","118.11"
"1512","2332","126.37"
"860","664","123.095"
"864","888","127.45"
"986","985","254.71"
"986","178","167.535"
"1570","2593","203.285"
"1570","1085","222.505"
"1570","2531","150.325"
"2356","2162","228.11"
"1461","1746","120.26"
"1524","1523","124.965"
"1524","2224","121.28"
"2526","1303","208.61"
"2526","1181","248.145"
"2543","2050","164.335"
"2543","2702","154.09"
"826","637","246.66"
"826","1612","143.235"
"2504","1955","392.77"
"2236","815","125.74"
"2523","2149","119.315"
"2523","821","142.21"
"2523","1941","116.34"
"1031","1032","174.28"
"1031","385","195.86"
"2215","1536","69.135"
"2215","591","56.255"
"2215","1531","106.405"
"965","1780","130.265"
"965","1705","126.495"
"1467","1750","140.83"
"1467","1756","145.805"
"1467","1210","129.805"
"1467","2250","137.695"
"2374","822","98.965"
"2374","1909","111.595"
"2500","229","198.06"
"2500","2444","89.53"
"2314","2441","98.52"
"2314","1682","102.335"
"2465","1730","109.66"
"2441","1277","102.44"
"2312","2694","95.98"
"1361","1358","192.14"
"1950","1251","154.265"
"1464","684","113.335"
"2304","438","152.88"
"1783","2498","98.62"
"1783","665","76.095"
"1783","1630","98.415"
"1904","545","148.105"
"1750","2244","115.405"
"2628","2533","130.905"
"1903","1232","137.215"
"167","466","187.16"
"167","1088","113.97"
"167","1067","157.09"
"1686","212","151.46"
"1940","549","173.63"
"1940","2148","139.815"
"1762","1763","801.76"
"1937","1949","101.235"
"1674","1246","82.495"
"1674","644","86.095"
"1594","2227","165.255"
"87","741","147.64"
"87","927","114.33"
"2418","1052","139.035"
"1690","905","85.97"
"1830","559","165.58"
"1944","1271","48.84"
"1944","44","135.295"
"1911","720","147.245"
"2170","555","189.52"
"2171","1232","205.08"
"2074","2020","254.925"
"1331","1935","190.645"
"1935","1222","155.33"
"1935","824","135.665"
"1942","353","138.875"
"1605","41","181.11"
"1605","618","189.305"
"2340","1692","142.48"
"2340","644","88.835"
"1627","2486","166.165"
"1627","1613","182.49"
"1608","621","210.345"
"1608","1613","198.335"
"1608","865","205.295"
"1604","617","190.285"
"1604","618","215.675"
"1705","1271","69.86"
"1705","2466","76.55"
"1309","455","130.25"
"1309","2363","102.745"
"1309","930","128.255"
"1309","1917","112.28"
"2485","2483","123.075"
"1470","2","110.345"
"1470","2352","128.13"
"1771","1294","115.45"
"1771","2614","131.175"
"1771","1650","91.29"
"1660","875","197.48"
"2120","264","175.695"
"2120","2119","188.21"
"2120","2654","163.43"
"471","1492","170.025"
"1656","2174","94.53"
"1656","2618","137.715"
"2221","1936","180.185"
"2222","2223","128.315"
"2222","1825","114.705"
"2222","931","186.925"
"724","2173","131.09"
"724","1330","172.12"
"2223","1853","94.4"
"1704","82","86.845"
"718","918","147.01"
"2520","602","92.75"
"2520","1099","74.96"
"1332","824","118.805"
"1332","2596","207.215"
"2519","2342","116.48"
"2519","2216","126.65"
"2239","1399","183.05"
"2239","2701","151.72"
"1024","620","115.135"
"1024","1616","184.835"
"1024","281","174.555"
"2670","1892","102.81"
"2670","1884","98.97"
"1732","677","132.69"
"1732","1738","155.185"
"1046","322","56.925"
"1046","1053","87.83"
"2686","1107","132.995"
"2686","1568","138.045"
"616","1637","164.71"
"616","1017","135.82"
"611","1045","102.73"
"725","1936","139.375"
"725","1947","199.17"
"743","127","127.63"
"743","1360","173.295"
"2409","328","193.08"
"2409","983","180.155"
"1707","1702","84.33"
"1707","1646","66.285"
"1707","2317","110.89"
"2318","1265","80.555"
"2318","659","86.3"
"1251","1243","150.89"
"1251","548","149.44"
"2348","1540","100.17"
"740","559","127.45"
"740","560","114.095"
"688","1905","117.52"
"602","2226","169.04"
"1596","940","146.41"
"1596","815","113.885"
"721","455","130.305"
"721","1912","117.74"
"2656","1949","85.395"
"107","600","111.13"
"107","1084","114.085"
"1235","351","50.715"
"1235","548","86.975"
"742","1358","176.45"
"762","841","164.085"
"2117","242","174.785"
"1756","681","177.25"
"1220","936","123.16"
"1886","2153","150.88"
"1886","2524","120.065"
"1849","1848","162.355"
"1625","1626","204.335"
"1722","211","102.875"
"1723","495","91.37"
"1248","174","213.64"
"1248","2522","172.59"
"1048","1079","131.175"
"741","345","96.145"
"741","2305","112.365"
"1399","569","268.795"
"1399","88","171.84"
"2662","1174","217.09"
"2662","2655","136.23"
"1241","2514","126.43"
"1887","2524","130.9"
"1887","1283","139.485"
"242","403","135.385"
"242","2654","147.715"
"351","1262","110.9"
"1757","116","172.245"
"1757","395","177.685"
"2431","1587","150.03"
"2431","607","148.05"
"1060","1063","142.16"
"1060","1534","160.485"
"1068","46","62.76"
"1068","2434","102.945"
"1028","2486","138.82"
"1028","1635","210.035"
"1583","2351","166.51"
"290","216","153.3"
"290","470","119.24"
"1499","1577","160.295"
"210","1774","144.115"
"210","1297","123.595"
"2605","2660","144.915"
"207","1282","113.445"
"1587","1549","190.735"
"1557","2396","209.78"
"1121","2127","150.57"
"2675","974","154.05"
"216","1551","99.73"
"2678","2064","224.725"
"2678","141","197.69"
"2678","2471","199.365"
"2514","1388","136.985"
"2708","314","178.135"
"2708","915","137.63"
"2682","2262","223.335"
"2682","241","161.305"
"2634","1069","58.76"
"2634","1513","150.72"
"2554","2127","189.26"
"2554","2281","194.445"
"2622","206","144.4"
"390","1330","155.075"
"391","975","138.395"
"391","832","109.895"
"1252","715","137.195"
"1252","551","116.69"
"1655","1047","121.35"
"1655","1651","116.44"
"2468","262","169.07"
"2468","143","194.005"
"38","1407","177.82"
"1694","1279","175.73"
"1247","21","124.425"
"720","1912","121.045"
"1547","1546","157.975"
"1547","100","182.31"
"1016","1636","101.955"
"1744","2691","144.64"
"1386","2653","169.42"
"1498","808","151.16"
"1018","332","89.935"
"1018","1603","198.345"
"530","394","146.83"
"181","1045","97.755"
"1774","2463","135.905"
"2539","2618","94.87"
"472","1567","141.27"
"2453","2339","123.97"
"2453","2244","111.8"
"408","1742","160.085"
"562","881","125.885"
"562","86","102.005"
"1027","42","219.925"
"1027","2162","173.04"
"1027","1642","188.25"
"1027","1631","188.075"
"571","39","109.05"
"571","2023","107.295"
"571","421","152.29"
"62","105","197.69"
"62","2665","143.245"
"62","2592","125.415"
"1829","1306","132.92"
"1753","1754","120.595"
"1753","974","107.47"
"1753","2639","111.835"
"64","2395","96.695"
"1265","1646","68.8"
"1265","1629","93.44"
"1692","1279","132.515"
"1106","1550","102.775"
"1741","90","132.495"
"1243","1939","134.985"
"1653","56","197.365"
"1062","593","103.13"
"1181","555","187.495"
"1751","681","125.305"
"1637","1636","186.155"
"1294","1772","85.08"
"1825","558","157.495"
"2354","2394","137.195"
"2367","385","152.595"
"2362","2594","154.61"
"195","2396","83.55"
"195","1566","95.33"
"1292","1275","166.065"
"1291","1768","110.335"
"1291","211","106.255"
"1565","2237","107.055"
"1565","324","152.64"
"1806","365","233.47"
"1806","1807","168.715"
"2012","2016","136.165"
"2016","2388","139.385"
"20","643","92.3"
"41","1606","193.025"
"41","334","205.675"
"1908","418","71.445"
"1222","2173","127.29"
"173","2687","121.03"
"1278","1280","101.135"
"1278","443","112.18"
"1768","2344","107.16"
"2456","531","177.365"
"1037","869","203.035"
"1037","2393","168.465"
"2378","531","219.995"
"888","108","82.345"
"2116","2404","128.91"
"1234","2152","106.915"
"1036","477","110.24"
"142","758","205.03"
"142","2545","188.44"
"60","958","84.98"
"60","1555","115.995"
"128","551","78.855"
"128","1884","88.82"
"46","2632","104.73"
"2353","469","127.205"
"2353","2635","129.075"
"102","57","128.23"
"102","1651","83.23"
"102","55","150.37"
"2591","2228","144.825"
"132","2408","110.705"
"27","2545","199.2"
"27","764","182.13"
"2553","1114","193.835"
"2553","2404","144.205"
"791","2066","188.81"
"791","496","111.02"
"2000","1996","100.135"
"2000","398","117.695"
"2000","2020","230.63"
"1287","719","76.94"
"1287","1566","82.465"
"1287","1270","166.36"
"1225","2590","233.565"
"1225","2003","184.155"
"1644","1020","155.495"
"1103","392","81.51"
"1107","1567","168.535"
"653","1272","105.81"
"653","1639","105.61"
"2069","761","138.245"
"2069","2429","169.535"
"2153","1888","139.72"
"345","1833","127.555"
"1104","1549","125.425"
"1754","1463","80.095"
"306","554","64.52"
"306","2525","71.945"
"58","456","122.945"
"238","1970","209.36"
"238","2241","159.61"
"314","2452","85.16"
"253","883","127.88"
"253","39","105.08"
"253","372","109.195"
"321","1534","128.285"
"321","458","94.87"
"662","2464","111.17"
"662","909","115.02"
"69","2269","222.405"
"69","787","159.905"
"63","219","156.36"
"63","2665","128.62"
"1876","1406","154.64"
"975","820","143.365"
"975","917","102.08"
"2022","2540","85.37"
"2022","749","87.03"
"2022","2537","131.05"
"96","1072","112.1"
"1541","2219","140.705"
"1541","2217","116.86"
"1545","1038","122.37"
"751","2388","121.345"
"1505","223","167.815"
"1505","199","136.11"
"798","1223","416.715"
"798","1186","222.97"
"622","42","145.65"
"622","892","187.51"
"329","331","200.02"
"822","418","131.235"
"980","2162","190.205"
"930","380","144.645"
"930","1914","149.675"
"268","1970","203.575"
"75","1223","402.155"
"75","755","196.72"
"2498","1639","105.785"
"1095","1094","138.37"
"1095","976","117.14"
"1088","1087","128.11"
"1088","1521","129.22"
"823","1307","135.695"
"823","1915","142.55"
"823","1914","138.315"
"423","291","209.64"
"423","2654","194.39"
"1067","2220","137.44"
"2028","877","124.115"
"2028","1477","116.79"
"1152","247","160.19"
"1152","846","183.31"
"1152","2477","182.74"
"1152","896","197.415"
"1079","598","142.96"
"1069","628","131.36"
"1556","1551","88.45"
"1556","1555","83.14"
"1982","1995","236.95"
"1982","7","186.055"
"1982","2542","206.345"
"889","1207","132.465"
"2134","2406","124.55"
"2521","436","98.3"
"2521","1927","141.175"
"2205","1035","157.705"
"2205","282","218.915"
"1015","638","94.81"
"1307","556","105.91"
"2118","403","115.155"
"2118","2404","157.24"
"2633","2646","128.725"
"2633","2219","154.77"
"2633","1544","149.03"
"2145","1919","128.03"
"2145","1929","138.305"
"1833","920","110.425"
"1629","2319","99.53"
"2203","1021","125.965"
"2121","264","153.935"
"2121","243","126.81"
"1606","619","186.045"
"2001","8","178.82"
"1831","237","145.29"
"352","1926","131.83"
"2062","2470","171.05"
"2056","2161","169.94"
"2420","100","256.205"
"820","77","121.795"
"1185","2272","176.17"
"1185","182","168.925"
"752","1216","160.53"
"752","2389","179.225"
"757","1266","187.635"
"1070","1523","122.08"
"1154","2564","209.8"
"1154","1155","120.24"
"1874","832","111.975"
"1153","2506","179.19"
"1153","2106","140.555"
"2125","2107","267.305"
"2125","1155","289.01"
"830","346","138.68"
"830","2536","147.885"
"1779","1297","96.645"
"868","1699","118.04"
"2330","1731","145.865"
"2330","117","103.475"
"816","2184","146.12"
"920","1832","102.05"
"1211","1472","166.22"
"1233","1919","135.055"
"1233","1308","137.95"
"719","1909","103.625"
"719","1894","118.395"
"2540","1038","147.275"
"2540","2207","155.75"
"196","2176","168.84"
"1250","700","108.31"
"2323","186","137.8"
"2323","1720","131.285"
"1388","746","173.59"
"1784","1785","65.95"
"1784","911","59.35"
"1784","2309","75.3"
"1784","2645","48.84"
"805","1087","85.46"
"805","2611","84.335"
"1628","1633","127.11"
"1628","1632","202.11"
"1892","1890","96.475"
"553","918","118.885"
"553","929","106.595"
"546","696","116.215"
"422","1517","159.665"
"422","30","162.545"
"1011","2621","192.31"
"1011","177","204.605"
"958","61","98.38"
"457","808","52.325"
"457","2213","94.115"
"2593","328","176.155"
"2487","2612","159.325"
"1826","558","138.58"
"1826","1827","157.67"
"2368","1620","209.66"
"2368","1043","218.95"
"2320","665","84.78"
"2320","675","87.685"
"2388","269","104.065"
"2594","716","176.755"
"2281","2406","220.225"
"1053","591","64.46"
"1885","1254","119.045"
"1885","1889","118.02"
"1085","1582","137.665"
"1085","1099","76.375"
"2434","863","88.385"
"2407","917","89.07"
"220","1564","148.46"
"220","2237","148.965"
"1682","113","94.855"
"1682","443","119.13"
"1919","380","107.32"
"946","1266","151.165"
"946","1264","160.855"
"946","2057","167.85"
"917","300","91.805"
"1894","454","127.87"
"295","1183","155.89"
"295","2070","149.995"
"295","840","105.525"
"936","1926","147.455"
"959","2531","119.845"
"959","1575","208.995"
"937","1522","129.625"
"2482","1592","154.91"
"2482","1603","184.195"
"2452","1742","173.225"
"2452","1443","122.935"
"2402","701","151.715"
"2402","2676","180.37"
"534","1261","122.48"
"279","636","263.515"
"279","2621","269.74"
"967","909","122.45"
"967","1770","121.82"
"1647","117","97.355"
"1261","1260","124.205"
"1261","907","120.135"
"1718","1297","90.025"
"1718","661","112.465"
"1714","432","248.77"
"1714","1404","235.19"
"1714","230","114.68"
"1517","2350","130.585"
"1517","1084","142.115"
"565","157","100.41"
"565","309","118.525"
"954","479","166.75"
"954","57","91.59"
"1546","2359","156.205"
"186","1710","111.885"
"1529","2435","143.455"
"1089","1090","73.49"
"2173","436","111.215"
"1274","715","130.23"
"2172","1931","110.325"
"2502","117","103.045"
"2541","276","175.695"
"2541","40","177.505"
"2065","2063","231.175"
"2065","2064","208.84"
"2470","764","220.24"
"2470","1268","129.215"
"891","638","193.25"
"1537","810","60.71"
